시군명,접수일자,상태,품종,품종상세,나이,체중,성별,중성화여부
오산시,2023-05,보호중,고양이,한국 고양이,0,0.11,Q,N
오산시,2023-05,보호중,고양이,한국 고양이,0,0.1,Q,N
남양주시,2023-05,보호중,개,셰퍼드,3,24.0,F,N
남양주시,2023-05,보호중,개,셰퍼드,3,27.0,M,N
성남시,2023-05,보호중,고양이,터키시 앙고라,1,1.1,F,Q
부천시,2023-05,보호중,고양이,한국 고양이,0,0.1,Q,N
성남시,2023-05,보호중,고양이,샴,0,0.3,F,N
성남시,2023-05,보호중,고양이,터키시 앙고라,1,1.1,F,Q
부천시,2023-05,보호중,개,비글,5,14.8,F,Q
광명시,2023-05,보호중,개,믹스견,4,10.0,F,Q
남양주시,2023-05,보호중,개,믹스견,7,19.0,M,N
성남시,2023-05,보호중,개,슈나우져,6,10.63,M,N
성남시,2023-05,보호중,고양이,한국 고양이,0,0.32,M,N
안산시,2023-05,보호중,개,브리타니 스파니엘,7,22.0,M,N
평택시,2023-05,보호중,개,믹스견,1,6.0,F,N
평택시,2023-05,보호중,개,믹스견,11,5.0,F,N
평택시,2023-05,보호중,개,믹스견,11,5.0,M,N
부천시,2023-05,보호중,개,푸들,11,3.8,F,Y
성남시,2023-05,보호중,고양이,한국 고양이,0,0.2,F,N
시흥시,2023-05,보호중,고양이,한국 고양이,0,0.3,F,N
시흥시,2023-05,보호중,고양이,한국 고양이,0,0.3,M,N
시흥시,2023-05,보호중,고양이,한국 고양이,0,0.3,M,N
시흥시,2023-05,보호중,고양이,한국 고양이,0,0.3,M,N
고양시,2023-05,종료(반환),개,믹스견,3,14.0,M,Y
성남시,2023-05,보호중,고양이,한국 고양이,0,0.2,M,N
평택시,2023-05,보호중,개,믹스견,1,7.0,M,N
시흥시,2023-05,보호중,고양이,한국 고양이,0,0.3,F,N
성남시,2023-05,보호중,고양이,한국 고양이,0,0.43,M,N
성남시,2023-05,보호중,고양이,한국 고양이,0,0.22,M,N
성남시,2023-05,보호중,개,진도견,3,15.0,M,N
김포시,2023-05,보호중,고양이,한국 고양이,0,0.2,F,Q
김포시,2023-05,보호중,고양이,한국 고양이,0,0.2,M,N
김포시,2023-05,보호중,개,믹스견,1,13.0,M,N
김포시,2023-05,보호중,고양이,한국 고양이,0,0.2,M,N
포천시,2023-05,보호중,개,믹스견,1,5.7,F,Q
포천시,2023-05,보호중,개,믹스견,2,6.8,F,Q
포천시,2023-05,보호중,고양이,한국 고양이,1,0.3,F,Q
포천시,2023-05,보호중,고양이,한국 고양이,1,0.35,M,N
포천시,2023-05,보호중,고양이,한국 고양이,1,0.3,M,N
